Name,TM,AVG,OBP,SLG,HR,PA,BABIP,BB%,SO%,BB,HP,AB,SF,RBI,R,SB,WPA,1B,2B,3B,CON,POW,EYE
Ronnie Cureton,Miami,.331,.414,.432,6,512,.386,11.1,14.5,57,7,447,1,51,56,2,2.96,118,21,3,75,55,65
E.J. Anderson,Montreal,.330,.383,.482,13,402,.370,7.5,15.9,30,3,367,2,56,53,7,2.19,93,13,2,75,60,50
Gregg Mata,San Francisco,.328,.416,.412,5,471,.377,12.7,13.2,60,2,408,1,39,48,0,1.11,110,19,0,80,65,65
Daxton Anderson,Cincinnati,.327,.427,.495,12,393,.357,15.0,12.7,59,0,333,1,32,42,2,0.72,77,20,0,70,65,70
Piotr Stirbu,Minnesota,.325,.404,.416,3,376,.368,11.2,11.7,42,2,332,0,40,38,5,0.92,85,19,1,75,45,55
Chris Kubinski,Houston,.322,.356,.407,5,396,.348,4.5,9.6,18,2,376,0,44,41,13,1.18,100,15,1,75,50,45
Joseph Major,New York,.320,.430,.510,21,500,.350,15.8,15.4,79,3,416,2,61,70,9,2.92,96,16,0,70,75,70
Santino Villa,Milwaukee,.319,.380,.465,11,503,.330,8.7,8.3,44,3,452,4,54,59,0,0.79,103,27,3,85,65,55
Antoine Boivin,Salt Lake,.312,.372,.397,6,401,.345,8.0,11.7,32,3,365,1,43,35,1,-0.39,95,13,0,75,50,50
Roman Tkachenko,Seattle,.312,.446,.442,10,509,.352,16.3,13.2,83,17,407,2,45,74,28,3.70,96,19,2,75,65,70
Davey Escobedo,Arizona,.311,.377,.447,11,501,.342,9.4,13.2,47,3,447,4,47,66,4,-0.30,105,18,5,75,65,55
Cyrus Edwards,San Diego,.310,.437,.481,15,458,.369,18.3,19.4,84,2,368,4,56,69,5,2.27,82,16,1,70,85,75
Max Guzman,Vancouver,.309,.368,.456,15,419,.355,7.6,19.1,32,5,379,3,60,43,0,1.05,91,11,0,70,70,50
E.J. Bernardo,Vancouver,.309,.400,.422,6,477,.342,11.7,11.9,56,10,405,6,62,52,17,2.03,94,22,3,80,65,55
Lucas Larsen,Cleveland,.309,.388,.434,11,397,.351,9.6,16.1,38,8,350,1,44,38,0,0.37,86,11,0,70,55,60
Ian Paz,Philadelphia,.308,.370,.354,1,460,.345,7.8,10.7,36,6,415,3,30,48,6,0.00,113,12,2,75,60,50
Devin Webb,New York,.308,.361,.469,16,457,.322,6.6,11.4,30,5,422,0,57,66,4,0.93,97,14,3,75,60,45
Zlatko Aleksic,San Diego,.308,.381,.375,3,386,.366,10.9,16.1,42,0,341,3,41,49,3,1.48,89,12,1,75,50,60
Sam Mbekile,St. Louis,.307,.395,.440,11,511,.354,12.7,15.9,65,1,443,2,60,67,23,2.37,102,20,3,75,55,65
Woody Gallagher,Cleveland,.306,.379,.395,5,443,.353,9.3,14.4,41,7,392,3,25,42,1,-0.28,95,20,0,70,55,65
Jack Alford,Colorado,.306,.379,.441,13,477,.348,10.1,16.6,48,4,422,3,65,57,10,2.38,100,14,2,70,70,55
Artie Wallace,Houston,.306,.393,.491,18,499,.355,12.4,19.2,62,2,432,3,71,66,2,2.04,89,24,1,65,70,60
Santiago Morales,Tampa Bay,.305,.393,.428,10,438,.327,11.9,10.5,52,3,383,0,59,47,0,1.68,90,17,0,80,65,60
Huy Nien,Los Angeles,.299,.419,.409,9,477,.327,17.2,11.5,82,1,391,3,60,44,0,1.77,93,14,1,75,70,70
Kirk Oliver,Boise,.299,.405,.424,12,447,.323,14.8,12.5,66,3,375,3,46,54,0,2.09,89,11,0,70,65,70
Jong-Gyu Twisselman,Sacramento,.298,.383,.447,13,478,.335,11.7,15.7,56,3,416,3,51,49,4,1.04,91,17,3,70,65,60
Turner Slawson,New York,.298,.365,.351,3,422,.332,10.0,11.6,42,0,376,4,57,28,0,-0.78,99,9,1,80,55,50
Loren Struebing,San Francisco,.297,.356,.411,8,436,.314,8.3,9.9,36,2,394,4,47,59,6,-0.17,88,21,0,80,60,50
Sokol Prendi,Arizona,.297,.377,.384,4,509,.345,11.4,14.5,58,2,445,4,38,52,5,0.03,103,23,2,70,55,60
Avery Lewis,Toronto,.295,.362,.495,20,517,.299,8.9,10.8,46,4,465,2,68,63,0,2.74,87,27,3,80,70,50
Ivan Harris,Colorado,.294,.370,.448,16,533,.314,10.3,12.6,55,3,473,2,68,67,5,2.34,102,17,4,70,65,55
Tom Garabedian,Albuquerque,.294,.367,.439,15,499,.319,10.0,13.6,50,2,446,1,62,65,16,0.82,98,16,2,70,75,55
Rio Giancana,New York,.294,.395,.370,4,491,.331,13.6,11.4,67,4,419,1,39,58,16,1.68,101,16,2,75,50,65
Joel Bolio,Charlotte,.293,.348,.448,20,511,.314,7.0,15.1,36,5,467,3,81,61,0,1.94,105,12,0,75,65,45
Timmy Page,Minnesota,.293,.376,.425,11,404,.335,11.9,16.6,48,0,355,1,49,54,7,1.55,80,12,1,70,75,55
Hugo Soto,Boston,.291,.402,.423,12,418,.317,15.6,13.4,65,1,350,2,52,34,1,1.46,80,10,0,70,65,65
Alejandro Rodríguez,Chicago,.291,.368,.454,14,435,.327,9.0,16.3,39,8,388,0,63,49,1,2.49,79,19,1,65,70,65
Benedito Crespo,Miami,.291,.380,.371,4,413,.337,10.7,13.8,44,8,361,0,53,39,0,0.95,84,17,0,70,55,55
Andy Bagley,Arizona,.291,.366,.394,9,513,.328,9.9,14.2,51,5,454,3,39,66,21,0.15,103,20,0,75,60,55
Jeff Figueredo,Baltimore,.290,.335,.379,7,427,.321,5.9,13.1,25,3,396,3,35,40,3,-2.45,97,8,3,75,65,50
Iason Tsongas,St. Louis,.290,.350,.364,2,380,.331,8.9,13.4,34,0,341,5,30,46,1,-1.30,82,11,4,80,55,55
Ryan Holcomb,New York,.290,.357,.445,17,457,.312,9.0,15.5,41,4,407,5,75,55,0,1.02,89,12,0,70,65,50
Yohanny Almonte,Charlotte,.289,.379,.391,9,530,.319,12.6,12.1,67,1,460,2,53,73,16,1.26,107,14,3,70,60,70
Logan Kloss,Baltimore,.288,.359,.399,8,412,.311,9.7,11.4,40,2,368,2,36,55,15,0.40,83,13,2,75,60,55
Dimitrios Ioannou,Albuquerque,.288,.372,.385,9,433,.319,11.5,12.9,50,1,382,0,34,62,5,0.93,91,10,0,75,55,60
Ray Kendrick,Cleveland,.288,.361,.436,12,393,.322,10.4,16.3,41,0,351,1,42,36,0,0.10,73,16,0,65,70,50
Johnny Kaizu,Portland,.288,.333,.411,13,478,.342,6.1,20.5,29,2,445,2,58,52,6,0.23,101,12,2,65,65,45
Josh Stechschulte,Vancouver,.287,.358,.449,12,383,.303,8.1,12.5,31,8,341,3,52,50,3,1.47,67,19,0,70,60,50
Kent Karon,Albuquerque,.287,.379,.392,10,454,.314,12.1,13.0,55,5,390,4,54,42,0,1.58,92,9,1,70,60,65
Xander Topper,Vancouver,.287,.341,.347,2,469,.330,7.5,13.0,35,1,432,1,32,43,44,-0.84,104,16,2,80,40,50
Alessandro Monti,Pittsburgh,.286,.378,.417,9,503,.330,12.3,15.7,62,4,434,3,61,58,5,0.32,89,22,4,75,55,65
Roberto Bessi,Charlotte,.285,.398,.388,9,475,.333,15.4,16.0,73,2,400,0,49,52,2,0.92,91,14,0,70,60,80
Eric Valentin,Atlanta,.284,.380,.454,16,540,.324,12.6,17.2,68,5,465,2,55,71,21,1.91,91,19,6,70,65,60
Naci Pasa,Milwaukee,.284,.358,.358,7,422,.327,10.4,15.4,44,0,377,1,53,39,8,0.55,94,5,1,70,50,55
Clint Casavant,Toronto,.283,.366,.344,2,434,.327,11.1,13.1,48,3,381,2,32,48,1,-0.48,89,17,0,75,45,65
Talip Piek,Toronto,.283,.361,.441,16,413,.318,9.4,18.2,39,6,367,1,59,61,2,1.87,78,10,0,65,65,55
Christopher Turcotte,Pittsburgh,.283,.344,.376,9,457,.322,7.9,15.3,36,3,417,1,61,48,5,-1.17,98,10,1,70,65,50
Andy Gastineau,Pittsburgh,.283,.370,.392,6,459,.307,11.3,9.8,52,4,403,0,37,67,16,1.46,86,18,4,75,55,65
Payton LaBay,Chicago,.281,.353,.393,13,552,.294,10.1,9.8,56,0,494,2,56,62,10,0.14,111,14,1,65,65,65
Jim Rolfson,Washington,.281,.320,.395,9,485,.301,5.2,10.9,25,2,456,2,50,47,1,-0.20,96,21,2,70,60,45
Scott Johnston,Washington,.280,.365,.424,17,524,.292,10.7,11.8,56,6,460,2,56,64,5,1.58,100,9,3,65,75,45
Emre Ergin,Charlotte,.280,.344,.341,4,404,.314,8.9,12.6,36,1,364,3,34,43,2,-1.86,88,10,0,75,40,60
Pablo Rascon,Philadelphia,.280,.392,.495,22,479,.294,13.2,15.7,63,13,400,3,83,66,4,2.84,70,20,0,70,70,65
Matias Rodriguez,New York,.280,.403,.377,6,539,.349,16.9,18.9,91,2,443,3,45,71,6,1.02,94,23,1,65,60,65
Jordi Bhola,New Orleans,.279,.406,.419,12,389,.369,17.5,26.0,68,2,315,4,50,60,4,1.47,68,8,0,50,70,85
Aitor Heredia,Albuquerque,.279,.374,.376,10,495,.308,12.1,13.1,60,6,426,3,56,51,0,-0.16,98,11,0,75,60,60
Renato Feliz,San Francisco,.279,.302,.444,16,443,.289,3.2,13.5,14,3,419,7,71,53,8,1.38,80,21,0,65,65,40
Bob Smith,Los Angeles,.279,.328,.373,8,393,.324,6.1,17.8,24,4,362,3,41,45,3,-1.98,83,10,0,65,65,50
Tyler McCuen,Sacramento,.279,.355,.388,8,391,.328,9.2,17.9,36,6,348,1,50,35,0,0.12,76,12,1,70,60,55
Darrien Dziarski,Pittsburgh,.279,.371,.443,16,434,.303,11.5,15.7,50,6,377,1,60,53,0,0.36,77,10,2,65,65,65
Jac Pisano,Charlotte,.278,.367,.341,2,403,.325,12.4,13.9,50,0,352,1,29,42,12,1.01,83,10,3,75,50,60
Bill Smith,Atlanta,.278,.358,.419,11,509,.310,9.2,14.3,47,10,449,3,53,62,12,0.70,89,20,5,65,65,60
Jozef Wilder,Milwaukee,.278,.370,.446,19,513,.287,12.9,12.5,66,1,442,4,65,64,14,3.02,87,17,0,70,75,55
Mat Santana,Vancouver,.278,.314,.421,11,373,.305,4.6,16.1,17,3,349,4,44,39,0,-1.57,72,11,3,65,65,45
Otis Ramírez,Montreal,.278,.359,.383,8,426,.303,11.3,12.7,48,2,371,5,49,37,0,0.61,80,15,0,70,60,70
E.J. Nash,Tampa Bay,.277,.335,.387,11,502,.325,6.6,18.1,33,7,462,0,53,60,13,2.31,101,14,2,70,60,50
Ethan DeAlba,Toronto,.276,.370,.447,18,503,.295,12.5,14.5,63,3,434,3,69,71,3,1.36,82,20,0,70,70,70
Marc Hall,Minnesota,.276,.382,.394,10,468,.308,12.8,13.7,60,9,398,1,46,53,0,0.38,83,17,0,70,60,55
Alain Mbvouvouma,Boston,.276,.349,.396,9,476,.304,8.8,12.6,42,6,427,1,41,66,6,0.24,91,12,6,70,60,50
Dave Perico,Boston,.276,.319,.399,14,486,.315,5.8,17.9,28,1,456,1,53,52,0,-1.86,99,12,1,70,70,50
Matteo Tortori,Atlanta,.276,.348,.343,2,419,.300,7.6,8.8,32,11,373,3,37,38,2,0.83,82,19,0,75,45,45
Timothy Park,Chicago,.276,.357,.385,8,426,.303,10.1,12.4,43,5,377,1,40,50,0,-0.87,80,15,1,70,60,55
Tony Rajaonarisoa,Detroit,.275,.348,.405,11,474,.331,9.7,20.0,46,2,425,1,36,49,9,-0.12,86,18,2,70,60,50
Kyle Marx,New York,.275,.342,.361,4,439,.344,8.4,20.3,37,4,396,2,26,48,5,-1.89,86,16,3,65,55,55
Francis Mills,Boston,.274,.355,.426,13,439,.295,9.6,13.9,42,8,387,2,49,62,8,0.14,73,20,0,70,65,65
Victor Pineda,New York,.274,.341,.392,10,384,.309,8.3,16.4,32,4,347,1,44,39,4,-1.38,74,11,0,70,55,50
Bobby Warren,Kansas City,.274,.363,.369,8,512,.319,12.1,16.6,62,3,442,5,56,60,3,-1.06,95,18,0,75,65,60
Mateo Peña,Arizona,.274,.338,.387,6,390,.333,8.2,20.0,32,4,351,3,37,40,13,-0.33,70,18,2,65,55,50
Jamie Abbey,Toronto,.273,.325,.430,16,434,.275,7.6,11.8,33,0,395,6,53,49,0,-0.09,78,14,0,70,70,55
Dukie Lochrie,Los Angeles,.273,.319,.373,6,436,.297,6.2,11.2,27,1,407,1,44,53,24,0.94,85,17,3,75,45,50
Max Dobias,Pittsburgh,.272,.352,.344,4,375,.312,11.2,14.1,42,0,331,2,35,40,0,-0.16,74,12,0,70,55,50
D.J. Lewis,Salt Lake,.272,.337,.364,6,481,.301,7.7,12.3,37,7,434,3,44,42,18,0.30,93,16,3,80,55,50
Vito Ceresa,New York,.271,.352,.315,1,463,.315,10.4,13.2,48,4,409,2,35,51,17,-0.25,96,13,1,75,50,60
Justin Tarnowski,Los Angeles,.271,.370,.404,10,476,.300,13.2,14.1,63,3,406,4,43,50,1,-0.15,79,18,3,75,70,65
Larry Berg,Philadelphia,.270,.363,.358,5,419,.304,10.0,12.4,42,11,366,0,27,53,10,0.42,80,11,3,70,55,50
Bip Pope,Philadelphia,.270,.349,.426,14,415,.275,11.1,11.1,46,0,366,3,56,49,5,-0.10,72,11,2,70,70,55
Kaiden Lynch,San Francisco,.269,.335,.420,9,376,.291,7.4,13.3,28,7,338,3,51,31,4,0.81,64,12,6,65,65,45
Andrei Mulligan,Detroit,.269,.340,.331,4,480,.318,8.5,16.0,41,6,432,1,28,42,13,-1.64,97,15,0,70,55,50
Blake Hall,New York,.268,.342,.340,1,547,.317,9.7,14.6,53,3,488,3,38,60,11,1.16,104,20,6,70,50,60
Joe Johnson,Texas,.268,.302,.424,15,371,.283,5.1,16.4,19,0,347,5,56,45,1,-1.07,69,9,0,65,70,45
Boris Chambers,Texas,.268,.367,.420,17,502,.284,12.2,13.7,61,7,433,1,57,59,12,-0.17,88,7,4,70,70,65
Morgan Robichaud,Charlotte,.268,.342,.393,12,444,.305,10.4,18.0,46,1,392,5,54,47,4,-0.16,80,13,0,65,70,55
Tevfik Kaner,Boise,.267,.347,.413,13,429,.267,9.3,8.9,40,8,378,3,59,42,1,-0.72,73,14,1,60,65,55
Árpád Murna,Boise,.267,.336,.420,17,458,.315,9.0,22.3,41,3,412,2,51,53,7,0.84,81,12,0,55,75,55
Tim Paschke,New Orleans,.265,.363,.396,14,513,.282,13.3,12.7,68,1,442,2,53,67,1,0.01,89,12,2,70,75,65
Ricardo Lugo,Los Angeles,.265,.370,.349,7,462,.294,12.8,12.6,59,8,393,2,40,41,0,-1.15,85,12,0,65,65,70
Davis Sachs,Washington,.265,.349,.387,10,393,.301,10.4,17.3,41,5,344,3,50,32,0,-0.97,69,12,0,65,70,50
Ivica Ivkovic,Colorado,.263,.361,.323,4,415,.290,13.0,11.3,54,3,353,5,33,32,2,-0.84,80,9,0,75,55,60
Bruno Bassani,San Francisco,.263,.341,.336,3,464,.307,9.9,14.4,46,3,414,1,30,54,7,-1.05,91,9,6,75,50,55
Andrew Strother,Boise,.263,.317,.377,10,492,.311,7.5,19.1,37,0,453,2,43,53,7,-1.62,89,18,2,70,65,55
Nicholas Bates,Atlanta,.263,.387,.360,10,506,.299,16.0,14.8,81,5,419,1,37,47,0,-1.02,89,11,0,70,55,75
Caeden Nichols,Philadelphia,.262,.373,.406,13,429,.276,14.9,12.6,64,1,362,2,55,51,0,0.95,70,11,1,70,65,70
Jacob Hughes,Atlanta,.262,.349,.389,14,459,.275,11.1,12.2,51,3,404,1,50,57,9,-0.48,84,7,1,75,65,65
Jaime Ormsby,Cincinnati,.262,.321,.338,5,421,.317,7.8,18.8,33,1,385,2,35,36,5,-2.01,84,10,2,70,60,50
Kendy Antoine,Charlotte,.262,.334,.362,8,437,.309,9.8,18.5,43,1,389,4,42,53,6,-0.31,82,9,3,65,65,60
Rowan Kendrick,Baltimore,.262,.326,.379,13,466,.276,8.6,12.9,40,2,420,4,50,37,4,-0.97,88,8,1,70,65,60
Dogancan Selâniki,New York,.262,.355,.428,19,521,.281,12.9,15.9,67,0,451,3,74,61,0,2.95,82,16,1,70,65,60
Noah Nagel,San Diego,.261,.328,.388,12,494,.282,8.5,13.2,42,3,448,1,53,66,19,0.48,85,19,1,75,75,55
Jesús Cuellar,Miami,.261,.316,.323,3,440,.297,7.5,13.0,33,0,406,1,21,48,12,-3.10,89,12,2,75,45,45
Christopher Gaines,Sacramento,.261,.309,.325,4,469,.304,6.2,15.4,29,2,437,1,35,34,0,-3.68,95,14,1,70,50,50
Armando Rodriguez,Tampa Bay,.260,.318,.382,12,478,.280,7.5,13.8,36,3,434,5,47,49,11,-0.27,84,17,0,70,55,50
Shola Nweke,Vancouver,.260,.370,.371,10,511,.301,14.1,16.6,72,5,431,3,37,81,65,1.91,85,16,1,75,55,65
Aristeo Reyes,Cincinnati,.260,.313,.362,5,390,.283,5.6,11.0,22,6,362,0,27,38,6,0.22,69,18,2,75,60,45
Steve Amaya,Chicago,.259,.349,.395,12,456,.272,11.8,11.6,54,2,397,3,36,43,0,-0.62,75,14,2,70,65,70
Spartak Gonchar,Seattle,.259,.317,.345,5,435,.310,7.4,18.2,32,3,397,3,32,52,13,-1.09,80,17,1,60,55,55
Howard Dunlap,Miami,.259,.310,.415,16,390,.284,6.7,19.2,26,2,359,3,50,47,4,-0.05,70,6,1,55,70,50
Andrew Hoyle,San Diego,.259,.314,.375,10,373,.275,6.7,12.9,25,3,344,1,53,38,0,0.75,69,10,0,70,65,55
Aiman Barhoumi,Minnesota,.259,.427,.467,22,497,.260,21.7,13.9,108,6,379,4,73,67,2,4.71,63,13,0,60,85,95
Desi Quinones,Minnesota,.259,.405,.349,8,521,.282,19.6,11.7,102,3,410,6,49,73,8,2.40,85,13,0,75,60,95
Santiago Jeffries,San Diego,.258,.332,.314,3,401,.323,9.7,19.7,39,1,360,1,27,38,4,-2.00,79,11,0,75,55,60
Ragnar Warthman,Montreal,.258,.324,.344,9,509,.290,9.2,15.5,47,1,454,7,37,62,12,-1.35,96,12,0,65,60,65
Wayne Mata,Milwaukee,.258,.320,.341,5,435,.313,8.0,19.1,35,2,396,2,36,52,10,-1.39,81,14,2,65,55,50
Aaron Dean,Salt Lake,.256,.330,.386,12,437,.292,9.8,18.8,43,2,386,6,45,39,0,-2.20,73,14,0,65,65,65
Arnie Moskal,Tampa Bay,.256,.312,.335,6,398,.278,7.5,11.6,30,0,367,1,35,32,0,-0.95,78,9,1,70,65,50
Wally Frey,Boise,.256,.325,.379,10,505,.302,7.7,18.6,39,8,457,1,53,51,6,0.13,81,26,0,70,65,60
Paul Correa,Seattle,.256,.320,.351,7,416,.300,7.5,17.5,31,5,379,1,44,48,22,-0.11,78,9,3,65,60,55
Martin Sanabria,Chicago,.256,.292,.398,14,449,.283,2.7,17.8,12,11,422,4,54,51,4,-1.20,77,16,1,65,70,40
Elliot Koukal,Salt Lake,.256,.316,.343,10,474,.298,7.8,18.1,37,2,434,1,34,54,9,-1.63,93,8,0,65,65,50
Tadeo Nieto,Montreal,.256,.365,.389,10,422,.307,13.7,19.7,58,4,360,0,54,47,14,-0.33,66,14,2,60,55,65
Claude Santoyo,New York,.254,.316,.349,7,433,.286,8.3,14.8,36,1,393,3,43,49,17,-0.37,80,10,3,70,50,50
Aleksandr Kuznetsov,Detroit,.253,.358,.354,7,438,.310,13.5,20.5,59,5,367,7,41,47,7,-1.22,70,16,0,65,65,65
Santiago Bonilla,Baltimore,.253,.305,.344,9,453,.285,6.6,15.9,30,2,419,2,38,49,13,-2.58,87,9,1,70,60,50
Aidan Reuter,Boston,.253,.343,.338,6,405,.306,12.1,19.3,49,1,352,3,30,40,3,0.16,73,8,2,55,65,55
Robert Cheng,San Diego,.253,.314,.326,5,421,.280,8.1,12.6,34,1,384,2,48,38,5,0.87,80,11,1,70,60,55
Min-Hu Choi,Milwaukee,.253,.343,.348,10,446,.289,12.1,17.3,54,1,388,3,50,51,4,0.38,82,5,1,70,60,65
Vasil Jakova,Sacramento,.253,.308,.310,0,435,.315,7.1,18.6,31,2,400,2,24,42,18,-0.67,81,17,3,75,25,50
Emiliano Delgado,Portland,.252,.315,.366,10,394,.288,7.9,17.8,31,2,361,0,39,46,0,-2.21,70,11,0,70,65,50
Oscar Munoz,Salt Lake,.252,.354,.352,10,418,.291,12.9,17.5,54,3,361,0,34,43,1,-2.48,75,6,0,65,60,65
Jacinto Sandoval,Kansas City,.251,.348,.376,9,391,.290,13.3,18.2,52,0,335,4,43,42,2,0.54,60,15,0,65,60,65
P.J. Sepulveda,Kansas City,.250,.322,.357,9,510,.289,8.8,17.3,45,5,456,4,49,56,12,0.71,85,18,2,65,65,50
K.L. Hurtault,Houston,.249,.305,.406,14,443,.258,7.4,12.4,33,0,409,1,53,46,1,-0.63,66,22,0,65,70,50
Mark Samsonenko,Seattle,.249,.339,.348,9,440,.322,11.6,24.5,51,2,385,2,48,41,5,-1.11,77,9,1,60,65,60
Tod Cepeda,Washington,.249,.339,.316,0,493,.292,11.4,13.4,56,4,430,3,29,50,30,-1.12,84,17,6,75,35,55
Urban Saldivar,New Orleans,.249,.345,.396,12,420,.295,12.6,20.5,53,1,366,0,51,53,0,-0.45,64,12,3,50,75,70
Sam Robichaux,St. Louis,.247,.278,.381,14,460,.258,4.1,14.1,19,2,433,6,50,59,7,-1.38,80,10,3,70,60,45
Adrián Zaragoza,Colorado,.246,.326,.386,12,387,.265,9.8,15.2,38,3,345,1,42,37,1,-1.48,62,10,1,65,65,55
Ponziano Solis,Seattle,.246,.333,.421,14,433,.324,11.5,28.2,50,0,382,1,58,46,2,0.87,58,19,3,60,70,60
Hudson King,Kansas City,.246,.345,.302,1,435,.293,13.1,14.9,57,1,374,3,30,45,16,-0.57,75,14,2,75,40,70
Ludger Poncet,Texas,.246,.346,.395,12,433,.258,12.7,12.9,55,4,370,4,61,41,1,1.34,62,15,2,65,65,65
Owen Harris,Philadelphia,.245,.279,.329,9,437,.269,4.3,14.2,19,1,416,1,44,43,23,-2.05,86,6,1,70,55,45
Nelson Ruiz,Boston,.244,.315,.345,9,520,.280,8.3,16.5,43,7,467,3,50,51,3,-1.63,86,18,1,75,55,50
Jackson Kelley,Albuquerque,.242,.331,.421,20,502,.327,11.0,31.3,55,4,442,1,56,60,12,-0.24,71,13,3,60,70,65
