Name,TM,POS,IP,ERA,FIP,BABIP,K%,BB%,HR/9,H/9,LOB%,GO%,STU,MOV,CON,STM,IR,IRS,BF,IBB,WPA,pLi,GS
Ashton Taylor,HOU,RP,22.1,6.85,2.92,.400,21.4,15.5,0.0,10.5,59.5,0.69,8,6,5,6,38,4,103,0,0.9,1.89,0
Elton Fisher,ATL,RP,37.1,1.69,3.04,.299,13.9,8.9,0.2,8.7,83.3,0.53,6,7,6,4,33,8,158,3,2.0,2.39,0
Ash Savela,SFS,RP,33.1,3.51,4.24,.325,10.1,12.1,0.5,10.5,81.2,0.51,6,6,5,3,33,5,149,0,0.2,1.29,3
Jeremy Golda,CLT,RP,29.0,2.48,3.43,.284,24.4,10.1,0.9,7.4,88.4,0.50,8,6,5,3,31,7,119,0,0.5,1.91,0
Montrell Coleman,CHC,RP,46.2,3.47,4.69,.234,12.5,5.7,1.4,7.9,80.5,0.64,6,6,7,3,30,7,192,0,0.7,1.05,0
Moreno González,NYY,RP,13.1,2.70,1.54,.207,29.2,10.4,0.0,4.0,63.6,0.68,8,6,6,3,30,4,48,1,0.8,1.72,0
Oreiby Kiely,MIA,RP,26.0,2.42,2.97,.342,21.7,13.3,0.3,9.0,77.5,0.40,7,6,5,5,30,13,120,3,-1.4,1.57,0
E.J. Volkers,PIT,RP,41.1,2.61,3.95,.238,22.9,10.6,1.1,6.5,88.6,0.54,8,6,5,7,29,7,170,0,0.6,1.26,0
Lionel de Vol,PIT,RP,30.1,2.97,3.07,.326,19.6,13.8,0.3,8.9,82.7,0.63,8,6,5,3,28,7,138,4,0.5,1.28,1
Jason Walcott,CIN,RP,47.0,3.83,4.25,.211,19.9,13.8,1.0,5.9,69.8,0.55,9,5,6,2,28,12,196,1,0.4,1.05,0
Marty Aviles,TEX,RP,35.1,2.80,4.24,.279,11.8,12.5,0.5,8.4,78.1,0.59,6,6,6,5,27,10,152,0,-0.5,1.14,0
Montel Caballero,TBG,RP,28.0,0.64,1.85,.238,29.1,10.9,0.0,4.8,90.0,0.52,8,7,7,4,27,7,110,2,0.9,1.17,0
Aleksandr Dubrovsky,CIN,RP,32.2,1.65,1.79,.330,26.7,3.7,0.6,8.8,85.2,0.44,9,7,7,4,27,9,135,1,0.6,1.66,0
Shawn Shultz,CIN,RP,60.2,1.93,2.33,.287,21.4,7.8,0.1,7.3,82.2,0.50,8,7,7,3,27,3,243,1,1.4,0.79,0
Tomasso Maes,AZ,RP,34.1,1.05,2.28,.269,31.5,12.6,0.5,6.0,89.0,0.66,9,7,6,3,26,9,143,2,1.2,1.75,0
Danny Powers,STL,RP,86.0,4.60,3.73,.307,12.1,8.8,0.5,9.4,67.8,0.51,6,6,7,8,26,8,365,2,-1.8,1.18,8
Alfred Möller,NYY,RP,28.2,2.83,2.74,.364,26.8,11.0,0.6,9.4,85.0,0.44,9,6,6,6,25,8,127,0,0.6,1.70,0
Isaiah Nolan,MIN,RP,35.2,2.02,2.71,.245,19.9,5.9,0.5,6.6,83.9,0.61,8,7,7,3,24,2,136,0,1.8,0.91,0
Jorge Vargas,VAN,RP,16.2,1.62,3.40,.271,21.4,5.7,1.1,8.1,98.8,0.45,7,6,5,5,24,8,70,0,0.3,1.03,0
Kenneth De la Cruz,DET,CL,42.1,3.19,4.40,.216,11.8,10.7,1.1,6.8,76.7,0.49,8,6,6,6,23,7,169,3,0.6,1.22,0
Toby Hatcher,BOS,RP,29.1,1.84,3.32,.275,23.4,20.2,0.0,5.8,86.4,0.55,9,6,4,6,23,4,124,0,2.2,2.29,0
Myles McCormack,NOLA,RP,21.2,2.91,2.56,.317,20.7,7.6,0.4,8.7,79.7,0.50,7,6,7,3,23,4,92,1,0.8,1.32,0
Elenore Skipworth,AZ,RP,52.1,5.50,5.11,.290,13.5,11.4,1.4,9.8,70.5,0.53,7,5,6,3,23,5,237,0,-1.6,0.70,3
Cedric Tamba,HOU,RP,31.0,4.65,4.68,.344,14.9,14.2,0.9,10.5,75.8,0.65,6,6,6,4,23,7,141,0,0.2,0.86,0
Tub Coté,PIT,RP,19.2,2.75,2.18,.321,25.9,7.4,0.5,8.2,79.6,0.51,8,7,5,4,22,1,81,0,0.9,1.53,0
Zach Kelley,NYY,RP,19.0,4.26,4.58,.371,16.1,9.2,1.4,12.3,83.9,0.74,8,6,6,2,22,8,87,0,0.3,1.45,0
Ignacia Martines,POR,RP,31.0,3.19,3.97,.242,12.8,4.8,1.2,8.1,81.0,0.57,5,7,6,6,22,6,125,0,0.3,0.96,0
Zahman Mohammed,CLT,RP,77.1,3.72,3.31,.306,12.3,8.4,0.3,9.5,70.2,0.54,5,7,6,5,22,5,333,0,0.5,1.14,8
Ted Pernadas,BOI,RP,44.0,3.68,2.97,.301,34.1,9.5,1.2,7.0,78.0,0.48,9,5,6,5,22,5,179,0,1.1,1.46,1
Moses Allen,KC,RP,43.2,4.33,5.17,.307,12.8,15.8,1.0,9.9,79.5,0.51,6,6,5,5,21,7,203,1,0.2,0.98,9
Maxwell Carmichael,MIL,RP,24.0,3.00,3.95,.329,21.0,8.6,1.5,10.1,78.9,0.47,8,6,7,4,21,13,105,2,-0.9,0.95,0
Aaron Delannoy,CLE-AAA,SP,60.2,4.45,4.75,.267,20.0,9.8,1.6,8.2,74.0,0.55,7,6,5,5,21,7,255,1,-0.3,1.04,1
Lou McNulty,POR,RP,22.0,1.64,3.11,.257,14.3,6.6,0.4,7.8,77.2,0.60,5,6,6,2,21,6,91,0,0.0,0.77,0
Alan Nunag,TEX,RP,23.2,1.14,3.50,.246,18.5,14.1,0.4,6.1,94.2,0.41,8,6,5,6,21,5,92,0,1.9,1.71,0
Arnoso Paz,SD,RP,29.1,2.15,4.28,.272,14.2,7.9,0.9,8.6,87.3,0.48,7,7,7,4,21,6,127,0,0.8,1.52,0
A.J. Richards,SJ-AAA,RP,18.0,2.00,3.74,.196,16.1,6.5,1.0,5.5,90.2,0.46,6,6,7,3,21,2,62,0,0.7,1.32,0
Bastien Rousseau,COL,RP,24.1,1.85,4.51,.224,16.3,17.3,0.7,6.3,93.2,0.63,7,6,6,4,21,7,104,1,-0.1,1.42,0
Ben Schlomowitsch,SD,RP,26.1,5.13,4.53,.337,13.1,8.2,1.4,12.0,68.5,0.56,6,6,6,4,21,10,122,1,-1.2,0.76,2
Matt Twymon,SLC-AA,RP,23.1,2.31,5.01,.179,18.6,18.6,0.8,4.6,86.1,0.49,7,6,6,3,21,7,97,0,0.0,0.73,0
T.J. Bade,NOLA,RP,33.1,3.51,5.80,.298,15.0,11.1,1.9,10.3,93.2,0.49,7,7,6,3,20,12,153,0,-0.4,0.56,0
Travis Emanuelson,MIA,RP,38.0,4.26,4.03,.320,15.7,7.8,1.2,10.4,74.0,0.56,7,6,6,4,20,6,166,1,-0.2,1.13,4
Ruben García,-,RP,30.1,3.26,2.78,.233,16.9,8.9,0.3,6.5,70.6,0.65,6,6,5,2,20,5,124,2,-0.4,0.84,0
Darin Hernández,LAD-AAA,SP,22.1,2.01,3.82,.254,17.4,10.9,0.8,7.3,91.6,0.40,7,6,6,4,20,3,92,1,1.3,1.85,0
Matt Lucas,BOI,RP,35.0,2.57,3.14,.262,26.4,10.7,1.0,6.7,81.9,0.52,9,7,6,3,20,6,140,3,0.5,1.49,0
Corbin Nicholl,IND,RP,29.1,2.15,3.32,.238,10.3,7.1,0.3,7.7,74.4,0.57,5,6,7,3,20,5,126,0,0.2,0.91,0
Randy Pryor,AZ,RP,25.1,2.49,1.36,.324,26.2,7.5,0.0,8.2,77.4,0.52,7,6,7,3,20,8,107,1,-0.1,1.31,0
Yancy Wallace,PHI,RP,23.0,8.61,5.09,.307,12.6,9.7,2.0,11.0,45.2,0.48,5,6,6,3,20,9,103,5,-2.6,1.41,0
P.J. Watson,TOR,RP,23.1,6.56,3.30,.408,20.5,9.8,0.8,12.7,65.5,0.53,8,6,6,3,20,7,112,0,-0.5,1.56,0
Steve Westfall,STL,SP,70.1,4.86,4.25,.302,10.6,8.1,0.9,10.2,68.9,0.49,5,6,6,6,20,7,310,0,-1.5,0.81,5
Nolan Woodall,DCN,RP,38.1,3.29,2.61,.339,17.9,8.3,0.2,9.9,76.0,0.52,7,7,7,4,20,2,168,2,0.7,1.78,0
